A	B	Code	Op	Sim Results	Real Results
133	173	0	Add    	50	50
68	253	1	And    	68	68
144	34	2	Xor    	178	178
182	8	3	ShiftL0	0	0
18	225	4	Sub    	49	49
76	133	5	Or     	205	205
59	154	6	Xnor   	94	94
86	170	7	ShiftL1	191	191
199	155	0	Add    	98	98
120	187	1	And    	56	56
127	102	2	Xor    	25	25
184	190	3	ShiftR0	190	190
163	99	4	Sub    	64	64
178	51	5	Or     	179	179
204	169	6	Xnor   	154	154
73	25	7	ShiftR1	140	140
105	153	0	Add    	2	2
111	91	1	And    	75	75
129	93	2	Xor    	220	220
254	25	3	ShiftR0	0	0
120	39	4	Sub    	81	81
231	156	5	Or     	255	255
217	5	6	Xnor   	35	35
14	52	7	ShiftR1	252	252
145	249	0	Add    	138	138
196	94	1	And    	68	68
102	168	2	Xor    	206	206
245	253	3	ShiftL0	160	160
113	98	4	Sub    	15	15
18	97	5	Or     	115	115
50	30	6	Xnor   	211	211
138	41	7	ShiftR1	202	202
